Product Name,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Quantity Sold (liters/kg),Price per Unit (sold),Quantity in Stock (liters/kg),Year,Month,Day,DayOfWeek,Quarter,Days_to_Sell,Days_to_Expire,Expire,Sales_Velocity,Quantity_Abble_Sell_Before_Expire,Quantity_Lost,Stock_Efficiency,Value_Lost,Revenue_Before_Losses
Curd,487.4,84.11,40995.214,5,267,105.1375,220,2021,1,2,5,1,5,0,1,53.4,0.0,220.0,0.5478046778826426,18504.2,5614.342500000001
Curd,350.35,26.14,9158.149,6,31,32.675,319,2019,8,21,2,3,6,0,1,5.166666666666667,0.0,319.0,0.08848294562580276,8338.66,202.5849999999999
Butter,783.25,61.5,48169.875,33,565,76.875,218,2022,3,14,0,1,18,15,0,31.38888888888889,470.8333333333333,0.0,1.3224811150122353,0.0,8686.875
Buttermilk,833.77,94.17,78516.1209,11,514,117.7125,319,2019,4,18,3,2,11,0,1,46.72727272727273,0.0,319.0,0.6164769660697794,30040.23,12100.845000000001
Ice Cream,987.05,16.92,16700.886000000002,22,581,21.150000000000002,406,2020,2,18,1,1,22,0,1,26.40909090909091,0.0,406.0,0.5886226634922244,6869.52,2457.63
Curd,73.34,19.73,1446.9982,7,58,24.6625,15,2020,3,26,3,1,7,0,1,8.285714285714286,0.0,15.0,0.7908371966184893,295.95,286.08500000000004
Lassi,259.21,86.98,22546.0858,17,46,108.72500000000001,213,2019,10,20,6,4,17,0,1,2.7058823529411766,0.0,213.0,0.17746228926353153,18526.74,1000.2700000000002
Yogurt,133.47,99.37,13262.9139,30,51,124.2125,82,2020,2,6,3,1,30,0,1,1.7,0.0,82.0,0.3821083389525736,8148.34,1266.9675
Paneer,323.55,61.06,19755.963,14,106,76.325,217,2022,9,27,1,3,14,0,1,7.571428571428571,0.0,217.0,0.32761551537629424,13250.02,1618.0900000000001
Lassi,396.79,36.72,14570.1288,17,394,45.9,2,2021,10,31,6,4,17,0,1,23.176470588235293,0.0,2.0,0.9929685727966934,73.44,3616.92
Lassi,687.22,26.68,18335.0296,17,301,33.35,386,2021,3,15,0,1,13,4,0,23.153846153846153,92.61538461538461,293.38461538461536,0.5727647399892095,7827.501538461538,2007.6700000000005
Milk,574.44,33.02,18968.008800000003,28,106,41.275000000000006,468,2021,1,18,0,1,28,0,1,3.7857142857142856,0.0,468.0,0.1845275398649119,15453.36,875.0300000000003
Ghee,425.81,13.58,5782.4998000000005,103,181,16.975,244,2022,8,24,2,3,23,80,0,7.869565217391305,629.5652173913044,0.0,1.903584268550068,0.0,614.4950000000002
Yogurt,591.28,48.45,28647.516,21,314,60.5625,277,2022,11,26,5,4,21,0,1,14.952380952380953,0.0,277.0,0.5310512785820592,13420.650000000001,3803.324999999999
Ice Cream,911.07,48.44,44132.2308,28,811,60.55,100,2020,9,29,1,3,28,0,1,28.964285714285715,0.0,100.0,0.8901621170711361,4844.0,9821.21
Ice Cream,808.52,52.91,42778.79319999999,21,640,66.13749999999999,168,2021,8,6,4,3,21,0,1,30.476190476190474,0.0,168.0,0.791569781823579,8888.88,8465.599999999995
Milk,402.5,30.55,12296.375,29,259,38.1875,143,2021,11,16,1,4,29,0,1,8.931034482758621,0.0,143.0,0.6434782608695652,4368.650000000001,1978.1124999999997
Milk,31.27,66.73,2086.6471,1,24,83.41250000000001,7,2021,1,15,4,1,1,0,1,24.0,0.0,7.0,0.7675087943716021,467.11,400.3800000000001
Yogurt,469.32,31.56,14811.7392,23,192,39.449999999999996,277,2021,9,22,2,3,5,18,0,38.4,691.1999999999999,0.0,1.8818716440807977,0.0,1514.8799999999994
Buttermilk,926.48,61.77,57228.6696,12,46,77.2125,880,2021,5,22,5,2,12,0,1,3.8333333333333335,0.0,880.0,0.04965028926690269,54357.600000000006,710.3550000000001
Lassi,722.84,96.16,69508.2944,14,211,120.19999999999999,511,2021,2,6,5,1,12,2,0,17.583333333333332,35.166666666666664,475.8333333333333,0.3405548484680796,45756.13333333333,5072.439999999999
Curd,109.98,80.51,8854.489800000001,7,26,100.6375,83,2020,4,11,5,2,7,0,1,3.7142857142857144,0.0,83.0,0.23640661938534277,6682.330000000001,523.3149999999999
Ice Cream,232.16,96.98,22514.8768,21,196,121.22500000000001,36,2019,7,16,1,3,21,0,1,9.333333333333334,0.0,36.0,0.8442453480358374,3491.28,4752.02
Ghee,353.48,60.82,21498.6536,119,306,76.025,47,2019,10,17,3,4,59,60,0,5.186440677966102,311.1864406779661,0.0,1.7460293105068636,0.0,4652.730000000001
Lassi,656.31,61.74,40520.5794,12,307,77.175,349,2020,3,8,6,1,12,0,1,25.583333333333332,0.0,349.0,0.4677667565632095,21547.260000000002,4738.544999999998
Butter,922.51,18.41,16983.4091,27,531,23.0125,391,2019,8,2,4,3,20,7,0,26.55,185.85,205.15,0.7770647472656124,3776.8115000000003,2443.9274999999993
Yogurt,664.07,80.49,53450.9943,21,224,100.6125,440,2021,8,17,1,3,8,13,0,28.0,364.0,76.0,0.8854488231662324,6117.24,4507.4400000000005
Buttermilk,132.4,61.25,8109.5,9,90,76.5625,42,2021,11,21,6,4,5,4,0,18.0,72.0,0.0,1.2235649546827794,0.0,1378.125
Paneer,898.43,69.37,62324.0891,9,551,86.7125,347,2021,5,2,6,2,9,0,1,61.22222222222222,0.0,347.0,0.6132920761773316,24071.390000000003,9555.7175
Lassi,242.58,65.12,15796.809600000002,14,140,81.4,102,2020,9,19,5,3,14,0,1,10.0,0.0,102.0,0.5771291944925385,6642.240000000001,2279.2000000000003
Milk,59.99,51.59,3094.8841,27,22,64.48750000000001,37,2022,3,1,1,1,4,23,0,5.5,126.5,0.0,2.47541256876146,0.0,283.7450000000002
Curd,608.37,72.55,44137.2435,7,323,90.6875,285,2019,8,17,5,3,7,0,1,46.142857142857146,0.0,285.0,0.5309269030359813,20676.75,5858.412500000001
Buttermilk,315.2,42.09,13266.768,10,271,52.612500000000004,44,2022,8,18,3,3,10,0,1,27.1,0.0,44.0,0.859771573604061,1851.96,2851.5975000000003
Buttermilk,258.19,89.63,23141.5697,13,47,112.0375,211,2022,7,6,2,3,13,0,1,3.6153846153846154,0.0,211.0,0.1820364847592858,18911.93,1053.1525
Buttermilk,708.92,76.58,54289.09359999999,12,298,95.725,410,2022,8,22,0,3,12,0,1,24.833333333333332,0.0,410.0,0.4203577272470801,31397.8,5705.209999999999
Ghee,37.35,28.47,1063.3545,132,29,35.5875,8,2022,1,25,1,1,26,106,0,1.1153846153846154,118.23076923076924,0.0,3.941921532282978,0.0,206.4075
Paneer,683.8,14.32,9792.016,13,481,17.9,202,2022,5,16,0,2,13,0,1,37.0,0.0,202.0,0.7034220532319392,2892.64,1721.979999999999
Milk,857.82,64.72,55518.110400000005,24,166,80.9,691,2019,6,2,6,2,24,0,1,6.916666666666667,0.0,691.0,0.19351379077195682,44721.52,2685.880000000001
Yogurt,728.88,52.82,38499.4416,23,507,66.025,221,2022,7,2,5,3,11,12,0,46.09090909090909,553.0909090909091,0.0,1.4544107522375551,0.0,6694.935000000003
Curd,808.92,94.97,76823.1324,6,238,118.7125,570,2020,12,29,1,4,6,0,1,39.666666666666664,0.0,570.0,0.2942194530979578,54132.9,5650.715000000002
Buttermilk,19.6,12.88,252.44800000000004,12,9,16.1,10,2019,11,10,6,4,12,0,1,0.75,0.0,10.0,0.4591836734693877,128.8,28.980000000000004
Ghee,739.51,23.64,17482.0164,66,327,29.55,412,2021,10,1,4,4,31,35,0,10.548387096774194,369.19354838709677,42.80645161290323,0.9414254687388904,1011.9445161290324,1932.57
Butter,640.63,87.92,56324.1896,26,355,109.9,285,2020,12,29,1,4,26,0,1,13.653846153846153,0.0,285.0,0.5541420164525546,25057.2,7802.9000000000015
Curd,237.87,75.0,17840.25,7,119,93.75,118,2019,11,7,3,4,7,0,1,17.0,0.0,118.0,0.5002732585025434,8850.0,2231.25
Butter,322.46,63.61,20511.6806,35,152,79.5125,170,2022,12,9,4,4,35,0,1,4.3428571428571425,0.0,170.0,0.47137629473423065,10813.7,2417.1800000000003
Yogurt,970.44,23.06,22378.3464,24,920,28.825,50,2020,2,23,6,1,17,7,0,54.11764705882353,378.8235294117647,0.0,1.3383862262600106,0.0,5303.8
Lassi,9.02,14.3,128.986,16,2,17.875,7,2022,8,15,0,3,6,10,0,0.3333333333333333,3.333333333333333,3.666666666666667,0.5912786400591279,52.43333333333334,7.149999999999999
Curd,251.4,46.12,11594.568,6,205,57.65,46,2019,8,23,4,3,6,0,1,34.166666666666664,0.0,46.0,0.8154335719968178,2121.52,2363.65
Cheese,593.95,57.09,33908.605500000005,69,71,71.36250000000001,522,2022,2,6,6,1,42,27,0,1.6904761904761905,45.642857142857146,476.35714285714283,0.19638497709042366,27195.229285714286,1013.3475000000005
Curd,799.33,22.21,17753.119300000002,7,146,27.762500000000003,653,2021,3,13,5,1,7,0,1,20.857142857142858,0.0,653.0,0.18265297186393603,14503.130000000001,810.6650000000003
Cheese,227.23,41.89,9518.6647,73,67,52.3625,160,2020,5,1,4,2,4,69,0,16.75,1155.75,0.0,5.38111164899001,0.0,701.6574999999998
Yogurt,763.93,80.36,61389.4148,24,528,100.45,235,2021,2,9,1,1,24,0,1,22.0,0.0,235.0,0.691162802874609,18884.6,10607.520000000002
Buttermilk,831.73,93.9,78099.447,11,604,117.375,227,2021,12,5,6,4,11,0,1,54.90909090909091,0.0,227.0,0.7261972034193789,21315.300000000003,14178.899999999996
Butter,919.93,46.33,42620.3569,40,209,57.912499999999994,710,2022,10,3,0,4,11,29,0,19.0,551.0,159.0,0.8261498157468503,7366.469999999999,2420.7424999999994
Yogurt,595.15,57.48,34209.221999999994,30,311,71.85,284,2021,4,10,5,2,12,18,0,25.916666666666668,466.5,0.0,1.30639334621524,0.0,4469.069999999999
Curd,426.26,79.58,33921.7708,7,155,99.475,271,2021,6,15,1,2,3,4,0,51.666666666666664,206.66666666666666,64.33333333333334,0.8484649431489387,5119.646666666667,3083.7249999999995
Yogurt,157.42,38.59,6074.8378,23,134,48.237500000000004,23,2021,1,5,1,1,9,14,0,14.88888888888889,208.44444444444446,0.0,2.1753553833340393,0.0,1292.765
Ice Cream,611.6,68.0,41588.8,30,348,85.0,263,2019,4,25,3,2,30,0,1,11.6,0.0,263.0,0.5689993459777632,17884.0,5916.0
Ice Cream,526.99,24.09,12695.1891,24,219,30.1125,307,2019,7,27,5,3,24,0,1,9.125,0.0,307.0,0.41556765783031935,7395.63,1318.9275000000002
Curd,391.13,15.03,5878.6839,5,57,18.787499999999998,334,2022,7,23,5,3,5,0,1,11.4,0.0,334.0,0.14573159818986015,5020.0199999999995,214.17749999999992
Yogurt,94.77,73.42,6958.0134,23,63,91.775,31,2019,5,19,6,2,23,0,1,2.739130434782609,0.0,31.0,0.6647673314339982,2276.02,1156.3650000000002
Yogurt,545.66,31.03,16931.8298,28,541,38.7875,4,2019,5,26,6,2,28,0,1,19.321428571428573,0.0,4.0,0.9914598834439029,124.12,4196.8075
Yogurt,335.77,72.01,24178.7977,25,302,90.0125,33,2021,12,21,1,4,25,0,1,12.08,0.0,33.0,0.8994252017750246,2376.3300000000004,5436.754999999999
Yogurt,876.94,87.64,76855.02160000001,29,820,109.55,56,2020,10,1,3,4,29,0,1,28.275862068965516,0.0,56.0,0.9350696740940087,4907.84,17966.199999999997
Milk,989.42,12.43,12298.4906,26,940,15.5375,49,2022,8,15,0,3,23,3,0,40.869565217391305,122.6086956521739,0.0,1.0739713121345578,0.0,2921.0499999999997
Buttermilk,682.91,87.29,59611.2139,14,100,109.11250000000001,582,2021,3,26,4,1,14,0,1,7.142857142857143,0.0,582.0,0.14643217993586272,50802.780000000006,2182.2500000000005
Cheese,808.81,22.96,18570.2776,89,294,28.700000000000003,514,2022,11,23,2,4,50,39,0,5.88,229.32,284.68,0.6470246411394518,6536.2528,1687.5600000000006
Ice Cream,50.4,52.51,2646.504,25,8,65.6375,42,2020,12,15,1,4,21,4,0,0.38095238095238093,1.5238095238095237,40.476190476190474,0.1889644746787604,2125.404761904762,105.02000000000004
Buttermilk,567.24,66.92,37959.7008,12,419,83.65,148,2020,10,5,0,4,6,6,0,69.83333333333333,419.0,0.0,1.4773288202524504,0.0,7009.870000000002
Paneer,399.04,37.2,14844.288000000002,8,205,46.5,194,2022,6,9,3,2,8,0,1,25.625,0.0,194.0,0.5137329591018444,7216.8,1906.4999999999993
Buttermilk,932.18,92.75,86459.69499999999,14,317,115.9375,615,2019,1,13,6,1,14,0,1,22.642857142857142,0.0,615.0,0.3400630779463194,57041.25,7350.4375
Curd,60.99,83.96,5120.7204,6,20,104.94999999999999,40,2020,3,4,2,1,6,0,1,3.3333333333333335,0.0,40.0,0.3279226102639777,3358.3999999999996,419.7999999999999
Curd,330.01,51.29,16926.2129,7,57,64.1125,273,2019,3,24,6,1,7,0,1,8.142857142857142,0.0,273.0,0.1727220387260992,14002.17,730.8824999999999
Cheese,680.47,55.89,38031.4683,77,49,69.8625,631,2020,9,12,5,3,19,58,0,2.5789473684210527,149.57894736842104,481.42105263157896,0.2918261604015181,26906.62263157895,684.6524999999998
Paneer,203.36,29.08,5913.7088,14,15,36.349999999999994,188,2019,1,20,6,1,14,0,1,1.0714285714285714,0.0,188.0,0.07376081825334382,5467.04,109.04999999999994
Butter,318.94,10.97,3498.7718,33,220,13.7125,98,2022,4,4,0,2,12,21,0,18.333333333333332,385.0,0.0,1.8969085094375118,0.0,603.3499999999999
Paneer,118.89,23.4,2782.026,12,111,29.25,7,2021,9,15,2,3,12,0,1,9.25,0.0,7.0,0.9336361342417361,163.79999999999998,649.3500000000001
Ghee,264.52,83.61,22116.5172,70,225,104.5125,39,2022,11,5,5,4,6,64,0,37.5,2400.0,0.0,9.923635263874187,0.0,4703.062500000001
Paneer,279.54,12.35,3452.319,10,201,15.4375,78,2021,4,25,6,2,10,0,1,20.1,0.0,78.0,0.7190384202618587,963.3,620.5875000000001
Yogurt,174.93,52.01,9098.1093,30,107,65.0125,67,2020,3,1,6,1,17,13,0,6.294117647058823,81.82352941176471,0.0,1.0794233659850494,0.0,1391.2675000000006
Buttermilk,22.91,31.31,717.3121,13,12,39.137499999999996,10,2018,11,23,4,4,13,0,1,0.9230769230769231,0.0,10.0,0.5237887385421214,313.09999999999997,93.92999999999996
Yogurt,110.34,18.66,2058.9444,24,76,23.325,34,2022,4,1,4,2,24,0,1,3.1666666666666665,0.0,34.0,0.6887801341308682,634.44,354.53999999999996
Buttermilk,376.54,60.5,22780.67,14,287,75.625,89,2020,7,6,0,3,14,0,1,20.5,0.0,89.0,0.7622032187815371,5384.5,4340.875
Lassi,564.11,65.56,36983.0516,13,98,81.95,466,2019,2,25,0,1,13,0,1,7.538461538461538,0.0,466.0,0.17372498271613693,30550.960000000003,1606.22
Ice Cream,361.03,79.81,28813.8043,26,331,99.7625,30,2019,11,5,1,4,26,0,1,12.73076923076923,0.0,30.0,0.9168213167880787,2394.3,6604.2775
Butter,776.61,89.92,69832.7712,27,723,112.4,53,2019,11,8,4,4,27,0,1,26.77777777777778,0.0,53.0,0.9309692123459652,4765.76,16253.040000000003
Curd,82.1,78.91,6478.511,5,68,98.63749999999999,14,2019,7,12,4,3,5,0,1,13.6,0.0,14.0,0.828258221680877,1104.74,1341.4699999999993
Lassi,881.08,75.75,66741.81,17,489,94.6875,392,2019,7,10,2,3,17,0,1,28.764705882352942,0.0,392.0,0.5550006809824306,29694.0,9260.4375
Lassi,300.02,22.5,6750.45,13,210,28.125,90,2019,5,16,3,2,13,0,1,16.153846153846153,0.0,90.0,0.6999533364442371,2025.0,1181.25
Lassi,815.32,26.27,21418.456400000003,16,653,32.8375,162,2020,2,3,0,1,16,0,1,40.8125,0.0,162.0,0.8009125251435019,4255.74,4288.577499999999
Curd,317.23,44.38,14078.667400000002,5,116,55.475,201,2020,6,9,1,2,5,0,1,23.2,0.0,201.0,0.36566529016801685,8920.380000000001,1287.02
Cheese,215.99,27.78,6000.202200000001,74,39,34.725,176,2022,8,13,5,3,20,54,0,1.95,105.3,70.7,0.668086485485439,1964.046,270.855
Buttermilk,410.48,41.31,16956.9288,11,141,51.6375,269,2019,11,7,3,4,11,0,1,12.818181818181818,0.0,269.0,0.3435002923406743,11112.390000000001,1456.1775
Paneer,759.31,13.43,10197.5333,9,381,16.7875,378,2018,12,29,5,4,9,0,1,42.333333333333336,0.0,378.0,0.5017713450369414,5076.54,1279.2075000000007
Lassi,397.18,13.14,5218.9452,17,206,16.425,191,2019,4,16,1,2,17,0,1,12.117647058823529,0.0,191.0,0.5186565285261091,2509.7400000000002,676.71
Yogurt,699.61,29.7,20778.417,30,250,37.125,449,2022,11,18,4,4,30,0,1,8.333333333333334,0.0,449.0,0.35734194765655153,13335.3,1856.2500000000002
Yogurt,30.1,90.89,2735.789,25,9,113.6125,21,2019,9,26,3,3,17,8,0,0.5294117647058824,4.235294117647059,16.764705882352942,0.4397107680281415,1523.7441176470588,204.50249999999997
Ghee,335.67,69.34,23275.3578,77,184,86.67500000000001,151,2020,4,21,1,2,10,67,0,18.4,1232.8,0.0,4.220812107129025,0.0,3189.6400000000012
Curd,565.23,86.39,48830.2197,6,305,107.9875,260,2020,5,27,2,2,6,0,1,50.833333333333336,0.0,260.0,0.5396033473099446,22461.4,6587.237499999999
Milk,77.9,14.63,1139.677,2,24,18.2875,53,2020,10,16,4,4,2,0,1,12.0,0.0,53.0,0.30808729139922975,775.39,87.78000000000002
Ice Cream,328.34,25.88,8497.439199999999,26,253,32.35,75,2020,3,7,5,1,13,13,0,19.46153846153846,252.99999999999997,0.0,1.5410854601937016,0.0,1636.9100000000005
Curd,895.12,62.46,55909.1952,6,247,78.075,648,2020,2,2,6,1,6,0,1,41.166666666666664,0.0,648.0,0.27594065600143,40474.08,3856.9050000000007
Paneer,460.39,39.76,18305.1064,8,228,49.699999999999996,232,2022,5,31,1,2,8,0,1,28.5,0.0,232.0,0.49523230304741633,9224.32,2266.3199999999997
Ghee,834.79,69.97,58410.2563,69,597,87.4625,237,2020,6,28,6,2,18,51,0,33.166666666666664,1691.4999999999998,0.0,2.7414080187831673,0.0,10443.022500000005
Milk,300.78,38.26,11507.8428,2,122,47.824999999999996,178,2019,3,31,6,1,2,0,1,61.0,0.0,178.0,0.4056120752709622,6810.28,1166.9299999999998
Milk,396.31,62.56,24793.1536,30,331,78.2,65,2018,12,26,2,4,30,0,1,11.033333333333333,0.0,65.0,0.8352047639474149,4066.4,5176.84
Paneer,69.81,18.1,1263.561,14,49,22.625,20,2020,4,11,5,2,14,0,1,3.5,0.0,20.0,0.7019051711789142,362.0,221.72499999999994
Lassi,858.82,87.33,75000.7506,12,818,109.1625,40,2020,6,15,0,2,12,0,1,68.16666666666667,0.0,40.0,0.9524696676835658,3493.2,17858.984999999997
Paneer,764.09,24.14,18445.1326,13,390,30.175,374,2019,12,7,5,4,13,0,1,30.0,0.0,374.0,0.5104110772291222,9028.36,2353.65
Yogurt,578.76,52.15,30182.334,23,80,65.1875,498,2021,6,12,5,2,15,8,0,5.333333333333333,42.666666666666664,455.3333333333333,0.2119473817587025,23745.63333333333,1043.0
Milk,791.33,95.75,75769.8475,21,691,119.6875,100,2022,8,5,4,3,21,0,1,32.904761904761905,0.0,100.0,0.8732134507727496,9575.0,16540.8125
Ice Cream,501.95,66.62,33439.909,28,384,83.275,117,2019,4,19,4,2,23,5,0,16.695652173913043,83.47826086956522,33.52173913043478,0.9313243567478139,2233.2182608695653,6395.52
Paneer,570.15,16.26,9270.639,13,487,20.325000000000003,83,2019,5,19,6,2,13,0,1,37.46153846153846,0.0,83.0,0.8541611856528984,1349.5800000000002,1979.6550000000007
Butter,587.33,45.64,26805.7412,40,272,57.05,315,2020,1,24,4,1,40,0,1,6.8,0.0,315.0,0.4631127304922275,14376.6,3103.519999999999
Paneer,383.4,98.35,37707.38999999999,13,226,122.9375,157,2019,9,27,4,3,11,2,0,20.545454545454547,41.09090909090909,115.9090909090909,0.6966377388912601,11399.65909090909,5556.7750000000015
Milk,928.93,50.94,47319.6942,22,869,63.675,59,2022,6,17,4,2,22,0,1,39.5,0.0,59.0,0.935484912749077,3005.46,11066.715
Buttermilk,632.82,61.7,39044.994000000006,12,1,77.125,631,2019,11,6,2,4,12,0,1,0.08333333333333333,0.0,631.0,0.0015802281849499067,38932.700000000004,15.424999999999997
Ghee,530.11,15.68,8312.1248,63,463,19.6,67,2019,5,24,4,2,42,21,0,11.023809523809524,231.5,0.0,1.310105449812303,0.0,1814.9600000000007
Paneer,317.33,51.0,16183.83,9,143,63.75,174,2022,2,28,0,1,9,0,1,15.88888888888889,0.0,174.0,0.45063498566161414,8874.0,1823.25
Yogurt,323.81,39.22,12699.8282,21,298,49.025,25,2019,5,6,0,2,21,0,1,14.19047619047619,0.0,25.0,0.9202927642753467,980.5,2921.89
Cheese,824.09,59.71,49206.4139,59,137,74.6375,687,2021,7,8,3,3,47,12,0,2.9148936170212765,34.97872340425532,652.0212765957447,0.20868924923765036,38932.19042553192,2045.0675000000003
Ghee,486.43,27.23,13245.4889,129,384,34.0375,102,2020,1,11,5,1,22,107,0,17.454545454545453,1867.6363636363635,0.0,4.628901103213954,0.0,2614.0800000000004
Butter,904.02,57.46,51944.9892,37,51,71.825,853,2020,6,1,0,2,16,21,0,3.1875,66.9375,786.0625,0.13045895002322958,45167.15125,732.6150000000001
Ice Cream,630.45,36.58,23061.861,29,230,45.724999999999994,400,2019,4,4,3,2,29,0,1,7.931034482758621,0.0,400.0,0.3648187802363391,14632.0,2103.349999999999
Yogurt,896.79,19.24,17254.239599999997,29,1,24.049999999999997,895,2019,4,6,5,2,29,0,1,0.034482758620689655,0.0,895.0,0.0011150882592357186,17219.8,4.809999999999999
Paneer,696.71,90.94,63358.807400000005,8,489,113.675,207,2021,8,28,5,3,8,0,1,61.125,0.0,207.0,0.7018702185988431,18824.579999999998,11117.414999999999
Cheese,708.68,55.33,39211.26439999999,39,417,69.1625,291,2019,10,15,1,4,18,21,0,23.166666666666668,486.5,0.0,1.2749054580346562,0.0,5768.152499999998
Yogurt,129.95,65.43,8502.6285,22,119,81.78750000000001,10,2020,1,22,2,1,22,0,1,5.409090909090909,0.0,10.0,0.9157368218545595,654.3000000000001,1946.5425000000002
Yogurt,821.24,41.42,34015.760800000004,28,238,51.775000000000006,583,2020,12,29,1,4,28,0,1,8.5,0.0,583.0,0.2898056597340607,24147.86,2464.490000000001
Butter,452.38,88.27,39931.5826,37,350,110.33749999999999,102,2019,6,18,1,2,29,8,0,12.068965517241379,96.55172413793103,5.448275862068968,0.9871164157078807,480.9193103448278,7723.624999999998
Lassi,302.38,35.99,10882.6562,14,105,44.987500000000004,197,2022,4,19,1,2,14,0,1,7.5,0.0,197.0,0.34724518817382105,7090.030000000001,944.7375000000002
Butter,232.39,86.23,20038.9897,28,86,107.78750000000001,146,2022,4,11,0,2,13,15,0,6.615384615384615,99.23076923076923,46.769230769230774,0.7970685882816353,4032.91076923077,1853.9450000000004
Butter,771.48,94.49,72897.1452,38,123,118.1125,648,2019,9,9,0,3,3,35,0,41.0,1435.0,0.0,2.019494996629854,0.0,2905.5675
Lassi,244.68,84.59,20697.4812,16,182,105.73750000000001,62,2022,5,22,6,2,16,0,1,11.375,0.0,62.0,0.7438286741866929,5244.58,3848.8450000000016
Curd,249.92,13.87,3466.3904,7,12,17.3375,237,2022,11,25,4,4,7,0,1,1.7142857142857142,0.0,237.0,0.04801536491677337,3287.1899999999996,41.60999999999999
Curd,460.57,88.15,40599.245500000005,7,203,110.1875,257,2020,4,4,5,2,7,0,1,29.0,0.0,257.0,0.44075819093731683,22654.550000000003,4473.612499999999
Lassi,643.78,38.29,24650.3362,12,321,47.8625,322,2019,8,4,6,3,12,0,1,26.75,0.0,322.0,0.4986175401534686,12329.38,3072.7724999999996
Milk,37.76,49.2,1857.792,1,24,61.5,13,2021,1,18,0,1,1,0,1,24.0,0.0,13.0,0.6355932203389831,639.6,295.19999999999993
Buttermilk,368.0,95.08,34989.44,8,325,118.85,43,2019,1,13,6,1,8,0,1,40.625,0.0,43.0,0.8831521739130435,4088.44,7725.249999999999
Buttermilk,452.2,31.14,14081.508,7,85,38.925,367,2021,11,20,5,4,7,0,1,12.142857142857142,0.0,367.0,0.1879699248120301,11428.380000000001,661.7249999999997
Yogurt,260.87,72.07,18800.9009,25,168,90.08749999999999,92,2021,3,27,5,1,20,5,0,8.4,42.0,50.0,0.8049986583355694,3603.4999999999995,3026.9399999999996
Ghee,838.85,61.21,51346.0085,147,392,76.5125,446,2019,12,17,1,4,10,137,0,39.2,5370.400000000001,0.0,6.869404541932408,0.0,5998.580000000001
Ice Cream,501.7,24.83,12457.211,21,488,31.037499999999998,13,2020,5,30,5,2,21,0,1,23.238095238095237,0.0,13.0,0.9726928443292805,322.78999999999996,3029.2599999999998
Ice Cream,404.93,79.28,32102.8504,22,309,99.1,95,2018,11,24,5,4,22,0,1,14.045454545454545,0.0,95.0,0.7630948559010199,7531.6,6124.379999999998
